port,content_dir,strategy,total_req,manifest_req,segment_req,other_req
8002,content/server2,latency-load,316,8,0,308
8002,content/server2,latency-load,316,8,0,308
8002,content/server2,latency-load,316,8,0,308
8002,content/server2,latency-load,316,8,0,308
8002,content/server2,latency-load,316,8,0,308
8002,content/server2,latency-load,316,8,0,308
8002,content/server2,latency-load,316,8,0,308
8002,content/server2,latency-load,316,8,0,308
8002,content/server2,latency-load,316,8,0,308
8002,content/server2,latency-load,316,8,0,308
8002,content/server2,latency-load,316,8,0,308
8002,content/server2,latency-load,160,6,0,154
8002,content/server2,latency-load,316,8,0,308
8002,content/server2,latency-load,160,6,0,154
8002,content/server2,latency-load,316,8,0,308
