port,content_dir,strategy,total_req,manifest_req,segment_req,other_req
8001,content/server1,latency-load,240,9,0,231
8001,content/server1,latency-load,240,9,0,231
8001,content/server1,latency-load,162,8,0,154
8001,content/server1,latency-load,84,7,0,77
8001,content/server1,latency-load,162,8,0,154
8001,content/server1,latency-load,396,11,0,385
8001,content/server1,latency-load,318,10,0,308
8001,content/server1,latency-load,318,10,0,308
8001,content/server1,latency-load,240,9,0,231
8001,content/server1,latency-load,84,7,0,77
8001,content/server1,latency-load,396,11,0,385
8001,content/server1,latency-load,318,10,0,308
8001,content/server1,latency-load,6,6,0,0
8001,content/server1,latency-load,162,8,0,154
8001,content/server1,latency-load,240,9,0,231
